id,listing_url,name,host_id,street,neighbourhood,city,state,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,reviews_per_month,borough,english_translation,population,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,bookings_per_month,high_availability
3352506,https://www.airbnb.com/rooms/3352506,Leidse Square New Luxury Appartment,16587129,"Lange Leidsedwarsstraat, Amsterdam, North Holland 1017, Netherlands",Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36297526,4.884257418,Apartment,Entire home/apt,2,1,1,1,Real Bed,229,1550,,235,40,0,0,1,20,361,1.75,Centrum,Central Amsterdam,85000,14,2015-01-07,2015-09-01,96,10,10,10,10,10,9,3.5,true
885008,https://www.airbnb.com/rooms/885008," BEAUTIFUL DESIGN LOFT CENTRE ",4688823,"Hoogte Kadijk, Amsterdam, North Holland 1018 BG, Netherlands",Centrum-Oost,Amsterdam,North Holland,1018 BG,Netherlands,52.36806272,4.916219854,Apartment,Entire home/apt,2,1,1,1,Real Bed,275,1400,3300,500,35,1,0,2,30,360,0.13,Centrum,Central Amsterdam,85000,3,2013-09-29,2014-05-05,100,10,10,10,10,10,9,0.26,true
1463449,https://www.airbnb.com/rooms/1463449,Beautiful Amstel River Apartment,5739589,"Eerste Boerhaavestraat, Amsterdam, North Holland 1091 RZ, Netherlands",Centrum-Oost,Amsterdam,North Holland,1091 RZ,Netherlands,52.36025342,4.904876607,Apartment,Entire home/apt,3,1.5,1,1,Real Bed,89,,,300,40,2,20,2,30,166,1.06,Centrum,Central Amsterdam,85000,23,2013-11-22,2015-08-03,98,10,10,9,10,10,9,2.12,false
6848837,https://www.airbnb.com/rooms/6848837,Sunny Center Apartment,35862996,"Poolstraat, Amsterdam, Noord-Holland 1018 LR, Netherlands",Centrum-Oost,Amsterdam,Noord-Holland,1018 LR,Netherlands,52.36955473,4.922845288,Apartment,Entire home/apt,2,1,1,1,Real Bed,98,950,3000,200,50,2,25,2,60,60,2.92,Centrum,Central Amsterdam,85000,7,2015-06-24,2015-08-14,73,8,7,8,9,9,8,5.84,false
1544866,https://www.airbnb.com/rooms/1544866,Modern apartment at a quiet canal,8154958,"Nieuwe Keizersgracht, Amsterdam, North Holland 1018, Netherlands",Centrum-Oost,Amsterdam,North Holland,1018,Netherlands,52.36551721,4.90782495,Apartment,Entire home/apt,2,1,1,2,Real Bed,110,680,2100,,30,2,0,3,1125,285,3.12,Centrum,Central Amsterdam,85000,73,2013-10-02,2015-09-03,96,10,9,10,10,10,9,6.24,true
7591133,https://www.airbnb.com/rooms/7591133,Luxury Downtown Amsterdam,24689607,"Kerkstraat, Amsterdam, Noord-Holland 1017 GV, Netherlands",Centrum-Oost,Amsterdam,Noord-Holland,1017 GV,Netherlands,52.36333264,4.890499272,Apartment,Entire home/apt,4,1,2,2,Real Bed,189,1791,6322,,65,2,40,1,1125,348,2,Centrum,Central Amsterdam,85000,2,2015-08-31,2015-09-02,,,,,,,,4,true
2195805,https://www.airbnb.com/rooms/2195805,old warehouse apartment,2953285,"Nieuwe Uilenburgerstraat, Amsterdam, North Holland 1011 LM, Netherlands",Centrum-Oost,Amsterdam,North Holland,1011 LM,Netherlands,52.3706307,4.906828933,Apartment,Entire home/apt,4,1,2,3,Real Bed,293,1529,5396,183,55,2,55,2,1125,224,1.21,Centrum,Central Amsterdam,85000,21,2014-04-02,2015-08-27,89,9,9,9,9,10,9,2.42,false
3023166,https://www.airbnb.com/rooms/3023166,Tulip Apartments C+D+E in Amsterdam,12856622,"Sarphatistraat, Amsterdam, North Holland 1018 GB, Netherlands",Centrum-Oost,Amsterdam,North Holland,1018 GB,Netherlands,52.36087626,4.909811025,Apartment,Entire home/apt,12,3,6,12,Real Bed,772,3751,12502,400,180,1,0,7,180,252,0.64,Centrum,Central Amsterdam,85000,10,2014-05-23,2015-06-01,100,10,10,10,9,9,10,1.28,true
6455652,https://www.airbnb.com/rooms/6455652,Canal house in Amsterdam Centrum,33714121,"Nieuwe Achtergracht, Amsterdam, Noord-Holland 1018, Netherlands",Centrum-Oost,Amsterdam,Noord-Holland,1018,Netherlands,52.36343522,4.91093846,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,149,772,,,,1,0,1,1125,65,0.45,Centrum,Central Amsterdam,85000,1,2015-06-29,2015-06-29,100,10,10,10,10,10,10,0.9,false
2643180,https://www.airbnb.com/rooms/2643180,Kloof 1 guestroom,4009374,"Kloveniersburgwal, Amsterdam, North Holland 1011 KD, Netherlands",Centrum-Oost,Amsterdam,North Holland,1011 KD,Netherlands,52.36857331,4.896797379,Bed & Breakfast,Private room,2,1,1,1,Real Bed,185,,,,,1,0,3,1125,353,0.19,Centrum,Central Amsterdam,85000,2,2014-10-20,2015-04-20,100,9,9,10,9,10,10,0.38,true
4194676,https://www.airbnb.com/rooms/4194676,Central Penthouse! on the canals,4979621,"Herengracht, Amsterdam, North Holland 1017, Netherlands",Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36620538,4.889497393,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,,,150,45,2,35,3,1125,0,0.19,Centrum,Central Amsterdam,85000,2,2014-10-26,2015-01-02,60,6,3,6,6,8,6,0.38,false
1737091,https://www.airbnb.com/rooms/1737091,Private Floor In Local Heart of AMS,9148155,"Utrechtsestraat, Amsterdam, North Holland 1017, Netherlands",Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.3597391,4.902418448,Apartment,Private room,2,1,1,1,Real Bed,150,,,150,30,2,40,1,1125,360,0.37,Centrum,Central Amsterdam,85000,6,2014-05-11,2015-08-03,97,10,10,10,10,10,9,0.74,true
